(-114, -219)
(12, 307)
(-195, 347)
(-388, 354)
(-87, 393)
(21, 157)
(153, 175)
(-230, -276)
(104, 170)
(38, 10)
(106, -15)
(120, -271)
(-281, -181)
(322, -257)
(268, 398)
(-142, 303)
(-82, -55)
(74, 119)
(-46, 63)
(306, -164)
(184, -298)
(-342, -168)
(-54, -210)
(141, 54)
(-212, 345)
(108, 129)
(257, -341)
(-201, -277)
(-306, -19)
(54, -229)
(390, 91)
(339, -145)
(-350, 99)
(363, 314)
(104, 380)
(97, 40)
(388, -51)
(-283, 102)
(-192, -291)
(-254, 289)
(347, -373)
(67, 254)
(-119, 246)
(-360, -113)
(-15, 310)
(222, -275)
(-287, 359)
(-344, 83)
(-78, 132)
(375, -104)
(350, 339)
(-359, -53)
(12, -206)
(54, -352)
(294, -55)
(315, 276)
(-369, 183)
(283, 265)
(65, 17)
(-73, -155)
